experiment_id,method,parameters,candidate_recall,full_entity_recall,mean_candidates,median_candidates,p95_candidates,p99_candidates,max_candidates,total_candidates,runtime_seconds,peak_memory_mb,unique_true_matches_recovered,notes
EXP-01,Legacy Token Inverted Index Baseline,"name_tokens>=3, addr_tokens>=5, max_posting=50000, top_k=80",0.8857431749241659,0.8361280487804879,80.0,80.0,80.0,80.0,80,160000,5.752219200134277,17.277332305908203,0,Initial baseline measurement on standardized validation setup
EXP-02,Individual: Exact Normalized Name,"passes=['exact_name'], top_k=80",0.8220424671385238,0.7538109756097561,1.5025,1.0,4.0,6.0,9,3005,1.3827970027923584,2.8298768997192383,162,Standalone single-pass performance
EXP-03,Individual: Exact Normalized Address,"passes=['exact_addr'], top_k=80",0.7548028311425683,0.6707317073170732,0.7785,1.0,2.0,3.0,5,1557,1.3817434310913086,2.8298768997192383,219,Standalone single-pass performance
EXP-04,Individual: Word Token TF-IDF Overlap,"passes=['token_tfidf'], top_k=80",0.916076845298281,0.8803353658536586,80.0,80.0,80.0,80.0,80,160000,2.012833833694458,2.8298768997192383,63,Standalone single-pass performance
EXP-05,Individual: Rare Token Blocking,"passes=['rare_tokens'], top_k=80",0.24823053589484328,0.21646341463414634,27.96,0.0,80.0,80.0,80,55920,1.4349615573883057,2.8298768997192383,4,Standalone single-pass performance
EXP-06,Individual: Character N-Gram (3-gram) Retrieval,"passes=['char_ngram'], top_k=80",0.8549039433771486,0.7972560975609756,80.0,80.0,80.0,80.0,80,160000,3.0798215866088867,2.8298768997192383,174,Standalone single-pass performance
EXP-07,Individual: Address Numeric / Postal Code,"passes=['addr_numeric'], top_k=80",0.6521739130434783,0.5701219512195121,80.0,80.0,80.0,80.0,80,160000,1.563335657119751,2.8298768997192383,161,Standalone single-pass performance
EXP-08,Individual: Phonetic Soundex Blocking,"passes=['phonetic'], top_k=80",0.6430738119312437,0.6089939024390244,22.892,23.0,54.0,80.0,80,45784,1.4429512023925781,2.8298768997192383,70,Standalone single-pass performance
EXP-09,Multi-Pass: Union Pass A (Exact Name),"passes=1, top_k=80",0.8220424671385238,0.7538109756097561,1.5025,1.0,4.0,6.0,9,3005,1.3851172924041748,2.8298768997192383,1626,Cumulative multi-pass recall
EXP-10,Multi-Pass: Union Pass A + B (+ Exact Address),"passes=2, top_k=80",1.0,1.0,1.7105,1.0,5.0,6.009999999999991,10,3421,1.3886113166809082,2.8298768997192383,352,Cumulative multi-pass recall
EXP-11,Multi-Pass: Union Pass A + B + C (+ Char 3-Grams),"passes=3, top_k=80",1.0,1.0,80.0,80.0,80.0,80.0,80,160000,3.1523377895355225,2.8298768997192383,0,Cumulative multi-pass recall
EXP-12,Multi-Pass: Union Pass A..D (+ Word TF-IDF),"passes=4, top_k=80",1.0,1.0,80.0,80.0,80.0,80.0,80,160000,3.615215301513672,2.8298768997192383,0,Cumulative multi-pass recall
EXP-13,Multi-Pass: Union Pass A..E (+ Rare Tokens),"passes=5, top_k=80",1.0,1.0,80.0,80.0,80.0,80.0,80,160000,3.7057130336761475,2.8298768997192383,0,Cumulative multi-pass recall
EXP-14,Multi-Pass: Union Pass A..F (+ Address Postal / Numeric),"passes=6, top_k=80",1.0,1.0,80.0,80.0,80.0,80.0,80,160000,4.124745607376099,2.8298768997192383,0,Cumulative multi-pass recall
EXP-15,Multi-Pass: Full Multi-Pass Search Engine (A through G),"passes=7, top_k=80",1.0,1.0,80.0,80.0,80.0,80.0,80,160000,4.206622838973999,2.8298768997192383,0,Cumulative multi-pass recall
